Id,Meal,Calories_meal,Proteins_meal,Carbohydrates_meal,Fats_meal,Fiber_meal,Sugar_meal,Calcium_meal,Vitamin C_meal
7086361926,lunch,970.2,12.31,16.41,5.47,,15,500,45.0
7086361926,snack,415.8,10.26,20.52,4.56,10,10,300,60.0
7086361926,dinner,693.0,10.26,20.52,4.56,15,10,350,60.0
8053475328,breakfast,796.5,7.12,14.23,3.16,15,20,400,60.0
8053475328,lunch,1115.1,8.54,11.39,3.8,,15,500,45.0
8053475328,snack,477.9,7.12,14.23,3.16,10,10,300,60.0
8053475328,dinner,796.5,7.12,14.23,3.16,15,10,350,60.0
8253242879,breakfast,511.0,8.63,17.26,3.84,15,20,400,50.0
8253242879,lunch,715.4,10.36,13.81,4.6,,15,500,37.5
8253242879,snack,306.6,8.63,17.26,3.84,10,10,300,50.0
8253242879,dinner,511.0,8.63,17.26,3.84,15,10,350,50.0
8378563200,breakfast,908.75,6.75,13.5,3.0,15,20,400,50.0
8378563200,lunch,1272.25,8.1,10.8,3.6,,15,500,37.5
8378563200,snack,545.25,6.75,13.5,3.0,10,10,300,50.0
8378563200,dinner,908.75,6.75,13.5,3.0,15,10,350,50.0
8583815059,breakfast,662.5,5.12,10.24,2.28,15,20,400,40.0
8583815059,lunch,927.5,6.14,8.19,2.73,,15,500,30.0
8583815059,snack,397.5,5.12,10.24,2.28,10,10,300,40.0
8583815059,dinner,662.5,5.12,10.24,2.28,15,10,350,40.0
8792009665,breakfast,511.0,4.92,9.84,2.19,15,20,400,40.0
8792009665,lunch,715.4,5.9,7.87,2.62,,15,500,30.0
8792009665,snack,306.6,4.92,9.84,2.19,10,10,300,40.0
8792009665,dinner,511.0,4.92,9.84,2.19,15,10,350,40.0
8877689391,breakfast,980.25,9.19,18.37,4.08,15,20,400,70.0
8877689391,lunch,1372.35,11.02,14.7,4.9,,15,500,52.5
8877689391,snack,588.15,9.19,18.37,4.08,10,10,300,70.0
8877689391,dinner,980.25,9.19,18.37,4.08,15,10,350,70.0
